	Common Settings,	,,,,
	.Source/Sweep Points,	191,,,,
	.Repeat,	0,,,,
	.Source to Measure Delay,	1,,,,
	.Measure Window,	16.667 ms,,,,
	.NPLC,	1,,,,
	.Channel,	base,,,,
	..Instrument,	New Top 2450,,,,
	...Model,	2450,,,,
	...Serial Number,	01419964,,,,
	..Source Settings,	,,,,
	...Mode,	DC,,,,
	...Function,	Voltage Sweep,,,,
	...Type,	Linear,,,,
	...Dual Sweep,	Disabled,,,,
	...Range,	Auto,,,,
	...Start,	0,,,,
	...Stop,	0.95,,,,
	...Step,	0.005,,,,
	...Limit,	0.2,,,,
	..Measure Settings,	,,,,
	...Voltage,	Measured,,,,
	...Current,	True,,,,
	...Range,	Auto,,,,
	...Minimum Range,	1E-08,,,,
	...Resistance,	False,,,,
	...Power,	False,,,,
	...Auto Zero,	On,,,,
	..Instrument Settings,	,,,,
	...Input Terminals,	Front,,,,
	...Sense,	2-Wire,,,,
	...Output Off,	Normal,,,,
	...High Capacitance,	False,,,,
	.Channel,	Collector,,,,
	..Instrument,	Bottom 2450,,,,
	...Model,	2450,,,,
	...Serial Number,	01419958,,,,
	..Source Settings,	,,,,
	...Mode,	DC,,,,
	...Function,	Voltage Sweep,,,,
	...Type,	Linear,,,,
	...Dual Sweep,	Disabled,,,,
	...Range,	Auto,,,,
	...Start,	0,,,,
	...Stop,	1.2,,,,
	...Step,	0.00631578947368421,,,,
	...Limit,	0.2,,,,
	..Measure Settings,	,,,,
	...Voltage,	Programmed,,,,
	...Current,	True,,,,
	...Range,	Auto,,,,
	...Minimum Range,	1E-08,,,,
	...Resistance,	False,,,,
	...Power,	False,,,,
	...Auto Zero,	On,,,,
	..Instrument Settings,	,,,,
	...Input Terminals,	Front,,,,
	...Sense,	2-Wire,,,,
	...Output Off,	Normal,,,,
	...High Capacitance,	False,,,,
,,,,,
"Index","base Time (s)","base Voltage (V)","base Current (A)","Collector Voltage (V)","Collector Current (A)"
"1","0","-1.57841168402229E-06","1.783142244971E-10","0","-4.00319644100477E-09"
"2","1.3608329","0.00499807624146342","-6.01344841977269E-12","0.006316","-3.96461619089905E-09"
"3","2.51797842","0.00999762769788504","-6.36777089391138E-12","0.0126315","-3.93576726764877E-09"
"4","3.58733578","0.0149972653016448","-6.42334969935821E-12","0.0189475","-3.92698540352399E-09"
"5","4.65666856","0.0199975930154324","-9.97352807979857E-12","0.025265","-3.923830149688E-09"
"6","5.72601268","0.0249831657856703","-1.12866122697897E-11","0.03158","-3.93310761737098E-09"
"7","6.79535956","0.0299827791750431","-1.08975545601298E-11","0.037895","-3.928771530326E-09"
"8","7.86470718","0.0349826328456402","-1.01750032011072E-11","0.04421","-3.94970056660782E-09"
"9","8.93405958","0.0399808995425701","-1.06404962965656E-11","0.050525","-3.93760579697755E-09"
"10","10.00340592","0.0449838899075985","-1.12101838228851E-11","0.05684","-3.94829635652627E-09"
"11","11.07276886","0.0499847605824471","-1.0939238230534E-11","0.06316","-3.93707866308546E-09"
"12","12.14211504","0.0549826957285404","-1.01263728305434E-11","0.069475","-3.93308674517812E-09"
"13","13.21146548","0.0599838234484196","-1.0835023850353E-11","0.07579","-3.93091026396064E-09"
"14","14.2808101","0.064981497824192","-1.15228234939813E-11","0.082105","-3.94145116544564E-09"
"15","15.3501842","0.0699815228581429","-1.07724931405762E-11","0.08842","-3.93239218965391E-09"
